ID,LEN,PLC,DATA,CRC,
0x04,0x0B,0xF4,"0x02 0x53 0x10 0x31 0x30 0x00 0x50 0x00 0xE0 0x11",0x1A,
0x39,0x08,0xF7,"0x07 0x01 0x02 0x00 0x00 0x50 0xE0",0x72,
0x31,0xFE,0x01,"0x01 0x01 0x00 0x6F 0x10 0x18 0x52 0x00 0x00 0x10 0x00 0x00 0x1C 0x00 0x00 0x1E 0x00 0x80 0x1F 0x00 0xC0 0x1F 0x00 0xF0 0x1F 0x00 0xF8 0x0F 0x00 0xFE 0x03 0x00 0xFF 0x01 0xC1 0xFF 0x01 0xE3 0xDF 0x01 0xFF 0xC7 0x01 0xFF 0xC3 0x01 0xFF 0xC0 0x01 0x7F 0xC0 0x01 0xFF 0xC0 0x01 0xFF 0xC3 0x01 0xFC 0xC7 0x01 0xF8 0xDF 0x01 0xE0 0xFF 0x01 0xC0 0xFF 0x01 0x00 0xFF 0x01 0x00 0xFE 0x03 0x00 0xF8 0x0F 0x00 0xF0 0x1F 0x00 0xC0 0x1F 0x00 0x80 0x1F 0x00 0x00 0x1E 0x00 0x00 0x1C 0x00 0x00 0x10 0xC0 0xFF 0x00 0xC0 0xFF 0x03 0xC0 0xFF 0x07 0xC0 0xFF 0x0F 0xC0 0xFF 0x0F 0xC0 0xFF 0x1F 0x00 0x80 0x1F 0x00 0x00 0x1F 0x00 0x00 0x1E 0x00 0x00 0x1E 0x00 0x00 0x1E 0x00 0x00 0x1E 0x00 0x00 0x1F 0x00 0x80 0x1F 0xC0 0xFF 0x1F 0xC0 0xFF 0x0F 0xC0 0xFF 0x0F 0xC0 0xFF 0x07 0xC0 0xFF 0x03 0xC0 0xFF 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0xF8 0x00 0x00 0xFE 0x03 0x00 0xFF 0x07 0x80 0xFF 0x07 0x80 0xFF 0x0F 0xC0 0xDF 0x0F 0xC0 0x07 0x1F 0xC1 0x03 0x1E 0xC3 0x03 0x1E 0xC7 0x01 0x1C 0xCF 0x01 0x1C 0xDF 0x01 0x1C 0xFF 0x01 0x1C 0xFE 0x03 0x1E 0xFC 0x03 0x1E 0xF8 0x07 0x1F 0xF0 0xDF 0x0F 0xE0 0xFF 0x0F 0xC0 0xFF 0x07 0x80 0xFF 0x07 0x00 0xFF 0x03 0x00 0xFC 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0xC0 0xFF 0x1F 0xC0 0xFF 0x1F 0xC0 0xFF 0x1F 0xC0 0xFF 0x1F 0xC0 0xFF 0x1F 0xC0 0xFF 0x1F",0xC7,
0x39,0x08,0xF7,0x02 0x01 0x00 0x00 0x28 0x02 0xC1,0x2E,
0x31,0x15,0xEA,0x04 0x01 0x00 0x2A 0x2C 0x08 0x0D 0xF8 0xF8 0x08 0x08 0x08 0xF8 0xF0 0x08 0x08 0x08 0xF8 0xF0 0x00,0xC8,
0x31,0x10,0xEF,0x04 0x01 0x00 0x37 0x2C 0x08 0x08 0x78 0xF8 0x80 0x80 0x80 0xF8 0xF8 0x00,0xD0,
0x31,0x0B,0xF4,0x04 0x01 0x00 0x3F 0x2C 0x08 0x03 0xFF 0xFF 0x00,0xD3,
0x31,0x0E,0xF1,0x04 0x01 0x00 0x42 0x2C 0x08 0x06 0x08 0x7E 0xFE 0x88 0x88 0x00,0x23,
0x31,0x0B,0xF4,0x04 0x01 0x00 0x48 0x2C 0x08 0x03 0xFA 0xFA 0x00,0xA4,
0x39,0x08,0xF7,0x04 0x01 0x02 0x4B 0x2C 0x08 0x0A,0xA4,
0x31,0x15,0xEA,0x04 0x01 0x00 0x55 0x2C 0x08 0x0C 0xF8 0xF8 0x08 0x08 0x08 0xF8 0xF0 0x08 0x08 0x08 0xF8 0xF0 0x00,0xB6,
0x31,0x10,0xEF,0x04 0x01 0x00 0x62 0x2C 0x08 0x08 0x70 0xF8 0xA8 0xA8 0xA8 0xB8 0xB0 0x00,0xAD,
0x31,0x10,0xEF,0x04 0x01 0x00 0x6A 0x2C 0x08 0x08 0x70 0xF8 0x88 0x88 0x88 0xFF 0xFF 0x00,0x8D,
0x31,0x0B,0xF4,0x04 0x01 0x00 0x72 0x2C 0x08 0x03 0xFA 0xFA 0x00,0x9E,
0x31,0x10,0xEF,0x04 0x01 0x00 0x75 0x2C 0x08 0x08 0x40 0xE8 0xA8 0xA8 0xA8 0xF8 0xF0 0x00,0x9A,
0x39,0x08,0xF7,0x04 0x01 0x02 0x7D 0x2C 0x08 0x0A,0x92,
0x31,0x0B,0xF4,0x04 0x01 0x00 0x87 0x2C 0x08 0x03 0xFA 0xFA 0x00,0x6B,
0x31,0x10,0xEF,0x04 0x01 0x00 0x8A 0x2C 0x08 0x08 0xF8 0xF8 0x08 0x08 0x08 0xF8 0xF0 0x00,0x6D,
0x31,0x0E,0xF1,0x04 0x01 0x00 0x92 0x2C 0x08 0x06 0x08 0x7E 0xFE 0x88 0x88 0x00,0xF3,
0x31,0x10,0xEF,0x04 0x01 0x00 0x98 0x2C 0x08 0x08 0x70 0xF8 0xA8 0xA8 0xA8 0xB8 0xB0 0x00,0x57,
0x31,0x0E,0xF1,0x04 0x01 0x00 0xA0 0x2C 0x08 0x06 0xF8 0xF8 0x10 0x18 0x18 0x00,0x59,
0x31,0x0D,0xF2,0x04 0x01 0x00 0xA6 0x2C 0x08 0x05 0x08 0xFE 0xFF 0x09 0x09,0x45,
0x31,0x10,0xEF,0x04 0x01 0x00 0xAB 0x2C 0x08 0x08 0x40 0xE8 0xA8 0xA8 0xA8 0xF8 0xF0 0x00,0x44,
0x31,0x0F,0xF0,0x04 0x01 0x00 0xB3 0x2C 0x08 0x07 0x70 0xF8 0x88 0x88 0x88 0x88 0x00,0xD3,
0x31,0x10,0xEF,0x04 0x01 0x00 0xBA 0x2C 0x08 0x08 0x70 0xF8 0xA8 0xA8 0xA8 0xB8 0xB0 0x00,0x75,